area,00:00-Alt.,00:00-Az.,02:00-Alt.,02:00-Az.,04:00-Alt.,04:00-Az.,06:00-Alt.,06:00-Az.,08:00-Alt.,08:00-Az.,10:00-Alt.,10:00-Az.,12:00-Alt.,12:00-Az.,14:00-Alt.,14:00-Az.,16:00-Alt.,16:00-Az.,18:00-Alt.,18:00-Az.,20:00-Alt.,20:00-Az.,22:00-Alt.,22:00-Az.
Seoul,59°,87°,82°,125°,71°,263°,47°,280°,25°,294°,4°,309°,-,-,-,-,-,-,-,-,15°,59°,36°,73°
Busan,61°,84°,85°,114°,70°,271°,45°,284°,22°,296°,1°,310°,-,-,-,-,-,-,-,-,15°,60°,37°,73°
Cheju,58°,80°,83°,93°,72°,274°,47°,284°,23°,295°,2°,309°,-,-,-,-,-,-,-,-,12°,58°,35°,71°
Chollabuk,59°,84°,83°,112°,71°,268°,47°,282°,24°,295°,3°,309°,-,-,-,-,-,-,-,-,14°,59°,36°,72°
Chollanam,58°,82°,83°,102°,72°,271°,47°,283°,24°,295°,3°,309°,-,-,-,-,-,-,-,-,13°,59°,35°,71°
Chungcheongbuk,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Chungcheongnam,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Daegu,60°,85°,84°,119°,70°,269°,46°,283°,23°,295°,2°,310°,-,-,-,-,-,-,-,-,15°,60°,37°,73°
Gangwon,60°,88°,83°,130°,70°,264°,46°,281°,24°,294°,4°,310°,-,-,-,-,-,-,-,-,16°,60°,37°,74°
Gwangju,59°,83°,83°,107°,71°,270°,47°,283°,24°,295°,3°,309°,-,-,-,-,-,-,-,-,13°,59°,36°,72°
Gyeonggi,59°,87°,82°,124°,71°,263°,47°,280°,25°,294°,4°,309°,-,-,-,-,-,-,-,-,15°,59°,36°,73°
Gyeongsangbuk,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Gyeongsangnam,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Incheon,59°,87°,82°,123°,71°,263°,48°,280°,25°,294°,4°,309°,-,-,-,-,-,-,-,-,14°,59°,36°,73°
Jeju,58°,80°,83°,93°,72°,274°,47°,284°,23°,295°,2°,309°,-,-,-,-,-,-,-,-,12°,58°,35°,71°
Kangweon,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Kwangju,59°,83°,83°,107°,71°,270°,47°,283°,24°,295°,3°,309°,-,-,-,-,-,-,-,-,13°,59°,36°,72°
Kyeonggi,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Kyeongsangbuk,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Kyeongsangnam,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Pusan,61°,84°,85°,114°,70°,271°,45°,284°,22°,296°,1°,310°,-,-,-,-,-,-,-,-,15°,60°,37°,73°
South Korea,60°,85°,84°,116°,71°,268°,46°,282°,23°,295°,3°,310°,-,-,-,-,-,-,-,-,14°,59°,37°,73°
Taegu,60°,85°,84°,119°,70°,269°,46°,283°,23°,295°,2°,310°,-,-,-,-,-,-,-,-,15°,60°,37°,73°
Taejeon,59°,85°,83°,118°,71°,267°,47°,282°,24°,294°,3°,309°,-,-,-,-,-,-,-,-,14°,59°,36°,73°
Ulsan,61°,85°,85°,120°,69°,270°,45°,283°,22°,296°,2°,311°,-,-,-,-,-,-,-,-,15°,60°,38°,73°
