area,00:00-Alt.,00:00-Az.,02:00-Alt.,02:00-Az.,04:00-Alt.,04:00-Az.,06:00-Alt.,06:00-Az.,08:00-Alt.,08:00-Az.,10:00-Alt.,10:00-Az.,12:00-Alt.,12:00-Az.,14:00-Alt.,14:00-Az.,16:00-Alt.,16:00-Az.,18:00-Alt.,18:00-Az.,20:00-Alt.,20:00-Az.,22:00-Alt.,22:00-Az.
Seoul,28°,37°,44°,42°,59°,37°,69°,8°,64°,330°,50°,318°,34°,321°,20°,329°,10°,342°,6°,357°,8°,13°,16°,27°
Busan,27°,36°,43°,40°,58°,34°,67°,5°,61°,331°,47°,320°,31°,322°,17°,330°,7°,343°,3°,358°,6°,14°,15°,27°
Cheju,25°,35°,40°,39°,56°,33°,65°,8°,61°,334°,47°,321°,31°,322°,17°,330°,6°,342°,2°,357°,4°,13°,12°,26°
Chollabuk,27°,36°,42°,41°,58°,35°,67°,8°,62°,332°,48°,320°,32°,321°,18°,330°,8°,342°,4°,357°,6°,13°,14°,27°
Chollanam,26°,36°,41°,40°,56°,34°,66°,8°,62°,333°,48°,321°,32°,322°,18°,330°,7°,342°,3°,357°,5°,13°,13°,26°
Chungcheongbuk,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Chungcheongnam,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Daegu,28°,37°,43°,41°,58°,35°,68°,6°,62°,330°,47°,320°,32°,322°,18°,330°,8°,343°,4°,358°,7°,14°,15°,27°
Gangwon,29°,37°,44°,42°,60°,36°,69°,7°,64°,329°,49°,318°,33°,321°,20°,330°,10°,343°,6°,358°,8°,14°,17°,27°
Gwangju,26°,36°,42°,40°,57°,35°,67°,8°,62°,332°,48°,320°,32°,322°,18°,330°,8°,342°,3°,357°,6°,13°,14°,26°
Gyeonggi,28°,37°,44°,42°,59°,37°,69°,9°,64°,330°,50°,318°,34°,321°,20°,329°,10°,342°,6°,357°,8°,13°,16°,27°
Gyeongsangbuk,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Gyeongsangnam,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Incheon,28°,37°,43°,42°,59°,37°,69°,9°,64°,330°,50°,319°,34°,321°,20°,329°,10°,342°,6°,357°,8°,13°,16°,27°
Jeju,25°,35°,40°,39°,56°,33°,65°,8°,61°,334°,47°,321°,31°,322°,17°,330°,6°,342°,2°,357°,4°,13°,12°,26°
Kangweon,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Kwangju,26°,36°,42°,40°,57°,35°,67°,8°,62°,332°,48°,320°,32°,322°,18°,330°,8°,342°,3°,357°,6°,13°,14°,26°
Kyeonggi,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Kyeongsangbuk,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Kyeongsangnam,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Pusan,27°,36°,43°,40°,58°,34°,67°,5°,61°,331°,47°,320°,31°,322°,17°,330°,7°,343°,3°,358°,6°,14°,15°,27°
South Korea,27°,36°,43°,41°,58°,35°,68°,7°,62°,331°,48°,320°,32°,322°,18°,330°,8°,342°,4°,358°,6°,13°,15°,27°
Taegu,28°,37°,43°,41°,58°,35°,68°,6°,62°,330°,47°,320°,32°,322°,18°,330°,8°,343°,4°,358°,7°,14°,15°,27°
Taejeon,28°,36°,43°,41°,58°,36°,68°,7°,63°,331°,48°,319°,33°,321°,19°,330°,9°,342°,4°,358°,7°,13°,15°,27°
Ulsan,28°,37°,43°,41°,59°,34°,67°,5°,61°,330°,47°,320°,31°,322°,17°,330°,8°,343°,4°,359°,6°,14°,15°,27°
