area,00:00-Alt.,00:00-Az.,02:00-Alt.,02:00-Az.,04:00-Alt.,04:00-Az.,06:00-Alt.,06:00-Az.,08:00-Alt.,08:00-Az.,10:00-Alt.,10:00-Az.,12:00-Alt.,12:00-Az.,14:00-Alt.,14:00-Az.,16:00-Alt.,16:00-Az.,18:00-Alt.,18:00-Az.,20:00-Alt.,20:00-Az.,22:00-Alt.,22:00-Az.
Seoul,3°,64°,25°,81°,49°,100°,70°,139°,69°,226°,47°,262°,24°,280°,1°,297°,-,-,-,-,-,-,-,-
Busan,3°,65°,27°,81°,51°,98°,73°,139°,69°,235°,46°,266°,22°,282°,-,-,-,-,-,-,-,-,-,-
Cheju,1°,64°,24°,79°,49°,95°,73°,129°,72°,234°,48°,266°,23°,282°,-,-,-,-,-,-,-,-,-,-
Chollabuk,2°,64°,25°,80°,49°,98°,72°,135°,70°,230°,48°,264°,23°,281°,0°,297°,-,-,-,-,-,-,-,-
Chollanam,1°,64°,25°,79°,49°,96°,72°,131°,71°,231°,48°,265°,24°,281°,0°,297°,-,-,-,-,-,-,-,-
Chungcheongbuk,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Chungcheongnam,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Daegu,3°,65°,26°,81°,51°,99°,72°,139°,69°,233°,46°,265°,22°,282°,-,-,-,-,-,-,-,-,-,-
Gangwon,4°,65°,26°,82°,50°,101°,71°,142°,68°,229°,46°,263°,23°,281°,0°,298°,-,-,-,-,-,-,-,-
Gwangju,2°,64°,25°,80°,49°,97°,72°,134°,71°,231°,48°,264°,23°,281°,0°,297°,-,-,-,-,-,-,-,-
Gyeonggi,3°,64°,25°,81°,49°,100°,70°,138°,69°,226°,47°,262°,24°,280°,1°,297°,-,-,-,-,-,-,-,-
Gyeongsangbuk,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Gyeongsangnam,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Incheon,2°,64°,25°,81°,49°,99°,70°,138°,69°,226°,48°,262°,24°,280°,1°,297°,-,-,-,-,-,-,-,-
Jeju,1°,64°,24°,79°,49°,95°,73°,129°,72°,234°,48°,266°,23°,282°,-,-,-,-,-,-,-,-,-,-
Kangweon,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Kwangju,2°,64°,25°,80°,49°,97°,72°,134°,71°,231°,48°,264°,23°,281°,0°,297°,-,-,-,-,-,-,-,-
Kyeonggi,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Kyeongsangbuk,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Kyeongsangnam,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Pusan,3°,65°,27°,81°,51°,98°,73°,139°,69°,235°,46°,266°,22°,282°,-,-,-,-,-,-,-,-,-,-
South Korea,3°,65°,26°,81°,50°,98°,72°,137°,70°,231°,47°,264°,23°,281°,-,-,-,-,-,-,-,-,-,-
Taegu,3°,65°,26°,81°,51°,99°,72°,139°,69°,233°,46°,265°,22°,282°,-,-,-,-,-,-,-,-,-,-
Taejeon,3°,64°,26°,81°,50°,99°,71°,137°,70°,230°,47°,264°,23°,281°,0°,297°,-,-,-,-,-,-,-,-
Ulsan,4°,65°,27°,81°,51°,99°,73°,140°,69°,235°,46°,266°,21°,282°,-,-,-,-,-,-,-,-,-,-
