area,00:00-Alt.,00:00-Az.,02:00-Alt.,02:00-Az.,04:00-Alt.,04:00-Az.,06:00-Alt.,06:00-Az.,08:00-Alt.,08:00-Az.,10:00-Alt.,10:00-Az.,12:00-Alt.,12:00-Az.,14:00-Alt.,14:00-Az.,16:00-Alt.,16:00-Az.,18:00-Alt.,18:00-Az.,20:00-Alt.,20:00-Az.,22:00-Alt.,22:00-Az.
Seoul,5°,28°,19°,42°,36°,52°,56°,56°,74°,39°,74°,321°,56°,304°,36°,308°,19°,318°,5°,332°,-,-,-,-
Busan,4°,29°,18°,42°,36°,51°,56°,53°,73°,31°,71°,323°,53°,307°,34°,310°,16°,319°,2°,334°,-,-,-,-
Cheju,1°,27°,15°,41°,33°,50°,53°,51°,71°,32°,71°,329°,54°,309°,34°,310°,16°,319°,2°,332°,-,-,-,-
Chollabuk,3°,28°,17°,42°,35°,51°,55°,54°,73°,35°,73°,325°,55°,306°,35°,309°,17°,318°,3°,332°,-,-,-,-
Chollanam,2°,27°,16°,41°,34°,50°,54°,53°,72°,34°,72°,328°,55°,307°,35°,309°,17°,318°,3°,332°,-,-,-,-
Chungcheongbuk,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Chungcheongnam,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Daegu,4°,28°,18°,42°,36°,51°,56°,54°,74°,33°,72°,322°,54°,306°,34°,309°,17°,319°,3°,333°,-,-,-,-
Gangwon,6°,28°,19°,43°,37°,52°,57°,56°,75°,37°,74°,319°,55°,304°,36°,308°,18°,318°,5°,333°,-,-,-,-
Gwangju,3°,27°,17°,41°,35°,51°,54°,53°,72°,34°,72°,326°,55°,307°,35°,309°,17°,318°,3°,332°,-,-,-,-
Gyeonggi,5°,28°,19°,42°,36°,52°,56°,56°,74°,39°,74°,321°,56°,304°,36°,308°,19°,318°,5°,332°,-,-,-,-
Gyeongsangbuk,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Gyeongsangnam,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Incheon,5°,27°,18°,42°,36°,52°,55°,56°,74°,39°,74°,322°,56°,304°,37°,308°,19°,318°,5°,332°,-,-,-,-
Jeju,1°,27°,15°,41°,33°,50°,53°,51°,71°,32°,71°,329°,54°,309°,34°,310°,16°,319°,2°,332°,-,-,-,-
Kangweon,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Kwangju,3°,27°,17°,41°,35°,51°,54°,53°,72°,34°,72°,326°,55°,307°,35°,309°,17°,318°,3°,332°,-,-,-,-
Kyeonggi,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Kyeongsangbuk,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Kyeongsangnam,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Pusan,4°,29°,18°,42°,36°,51°,56°,53°,73°,31°,71°,323°,53°,307°,34°,310°,16°,319°,2°,334°,-,-,-,-
South Korea,4°,28°,18°,42°,36°,51°,55°,54°,73°,34°,73°,323°,54°,306°,35°,309°,17°,319°,3°,333°,-,-,-,-
Taegu,4°,28°,18°,42°,36°,51°,56°,54°,74°,33°,72°,322°,54°,306°,34°,309°,17°,319°,3°,333°,-,-,-,-
Taejeon,4°,28°,18°,42°,36°,51°,55°,54°,73°,36°,73°,323°,55°,306°,35°,309°,18°,318°,4°,333°,-,-,-,-
Ulsan,4°,29°,19°,42°,37°,51°,56°,53°,74°,31°,72°,322°,53°,306°,34°,310°,16°,319°,3°,334°,-,-,-,-
